Country,date,AverageTemperature,AverageTemperatureUncertainty,avt£¨2000/1/1£©,gap
Tunisia,1/1/1900,9.861,0.84,9.445,-0.416
Turkey,1/1/1900,1.523,0.618,-0.982,-2.505
Turkmenistan,1/1/1900,-7.592,1.407,2.166,9.758
Turks And Caicas Islands,1/1/1900,23.993,0.47,23.68,-0.313
Uganda,1/1/1900,23.452,1.096,23.849,0.397
Ukraine,1/1/1900,-4.905,0.638,-4.743,0.162
United Arab Emirates,1/1/1900,17.651,0.992,20.244,2.593
United Kingdom (Europe),1/1/1900,3.997,0.608,4.911,0.914
United Kingdom,1/1/1900,4.296,0.63,5.243,0.947
United States,1/1/1900,-2.573,0.443,-2.338,0.235
Uruguay,1/1/1900,24.656,0.984,25.099,0.443
Uzbekistan,1/1/1900,-12.176,1.105,-0.323,11.853
Venezuela,1/1/1900,24.592,0.882,24.754,0.162
Vietnam,1/1/1900,18.011,1.771,20.329,2.318
Virgin Islands,1/1/1900,24.207,0.97,24.555,0.348
Western Sahara,1/1/1900,15.7,0.625,15.864,0.164
Yemen,1/1/1900,19.944,0.696,21.137,1.193
Zambia,1/1/1900,22.101,0.923,22.167,0.066
Zimbabwe,1/1/1900,23.449,0.499,23.264,-0.185
